agent,label,seed,personaId,tier,satisfiable,dietStyle,horizonDays,mealsPerDay,snacksPerDay,poolAfterDiet,poolAfterPrep,slotCalls,meanBudget,solveMs,daysJudged,daysInBand
A14,floor12,8675309,p165,EASY,true,none,1,3,2,642,642,5,20.000,19,1,1
A14,floor12,8675309,p166,HARD,true,paleo,1,3,2,28,28,25,12.000,2,1,0
A14,floor12,8675309,p167,EASY,true,none,1,5,1,247,247,6,20.000,9,1,1
A14,floor12,8675309,p168,EASY,true,paleo,1,4,1,148,148,5,14.000,2,1,1
A14,floor12,8675309,p169,HARD,true,none,7,4,2,143,143,42,14.000,21,7,7
A14,floor12,8675309,p170,HARD,true,none,1,4,2,95,95,12,12.000,4,1,1
A14,floor12,8675309,p171,ROBUSTNESS,true,none,1,9,2,413,413,11,20.000,32,1,1
A14,floor12,8675309,p172,HARD,true,vegetarian,1,3,2,196,137,25,13.000,10,1,0
A14,floor12,8675309,p173,EASY,true,vegan,7,3,1,169,169,140,16.000,109,7,5
A14,floor12,8675309,p174,HARD,true,none,7,3,1,118,118,28,12.000,11,7,7
A14,floor12,8675309,p175,IMPOSSIBLE,false,vegan,1,5,0,20,20,25,12.000,2,1,0
A14,floor12,8675309,p176,EASY,true,none,1,5,1,910,603,6,20.000,22,1,1
A14,floor12,8675309,p177,EASY,true,none,1,3,2,494,494,5,20.000,13,1,1
A14,floor12,8675309,p178,EASY,true,mediterranean,1,4,3,296,296,7,20.000,6,1,1
A14,floor12,8675309,p179,EASY,true,none,1,3,1,642,642,4,20.000,13,1,1
A14,floor12,8675309,p180,EASY,true,none,1,5,1,336,336,6,20.000,13,1,1
A14,floor12,8675309,p181,HARD,true,none,7,4,1,335,322,175,20.000,410,7,7
A14,floor12,8675309,p182,EASY,true,none,7,2,1,910,910,42,20.000,187,7,7
A14,floor12,8675309,p183,EASY,true,mediterranean,7,3,2,241,241,175,20.000,175,7,3
A14,floor12,8675309,p184,IMPOSSIBLE,false,vegan,1,3,2,20,10,25,12.000,1,1,0
A14,floor12,8675309,p185,EASY,true,none,1,3,2,642,642,5,20.000,17,1,1
A14,floor12,8675309,p186,EASY,true,none,1,5,0,910,910,5,20.000,32,1,1
A14,floor12,8675309,p187,HARD,true,vegetarian,1,2,2,196,140,20,14.000,7,1,0
A14,floor12,8675309,p188,HARD,true,none,1,3,0,270,143,3,14.000,3,1,1
A14,floor12,8675309,p189,EASY,true,none,7,5,1,392,392,210,20.000,540,7,6
A14,floor12,8675309,p190,EASY,true,mediterranean,1,3,3,712,712,6,20.000,11,1,1
A14,floor12,8675309,p191,HARD,true,none,7,4,0,638,638,28,20.000,124,7,7
A14,floor12,8675309,p192,EASY,true,halal,1,3,2,348,204,5,20.000,5,1,1
A14,floor12,8675309,p193,EASY,true,none,1,3,1,910,910,4,20.000,18,1,1
A14,floor12,8675309,p194,EASY,true,none,7,4,1,610,610,35,20.000,127,7,7
A14,floor12,8675309,p195,EASY,true,none,7,3,0,723,664,21,20.000,97,7,7
A14,floor12,8675309,p196,HARD,true,mediterranean,1,3,0,315,315,6,20.000,12,1,1
A14,floor12,8675309,p197,ROBUSTNESS,true,none,7,9,0,488,488,63,20.000,270,7,7
A14,floor12,8675309,p198,EASY,true,none,1,3,1,741,500,8,20.000,20,1,1
A14,floor12,8675309,p199,EASY,true,paleo,1,2,1,167,167,15,16.000,11,1,0
A14,floor12,8675309,p200,EASY,true,none,1,3,0,910,910,3,20.000,16,1,1
