agent,label,seed,personaId,tier,satisfiable,dietStyle,horizonDays,mealsPerDay,snacksPerDay,poolAfterDiet,poolAfterPrep,slotCalls,meanBudget,solveMs,daysJudged,daysInBand
A14,cap200div2,424242,p201,EASY,true,keto,7,3,3,53,53,210,26.000,39,7,6
A14,cap200div2,424242,p202,EASY,true,none,7,3,0,741,741,21,200.000,427,7,7
A14,cap200div2,424242,p203,HARD,true,paleo,7,3,1,116,116,140,58.000,198,7,6
A14,cap200div2,424242,p204,HARD,true,none,1,3,2,266,266,5,133.000,33,1,1
A14,cap200div2,424242,p205,EASY,true,kosher,1,2,0,459,459,2,200.000,21,1,1
A14,cap200div2,424242,p206,HARD,true,none,1,3,2,125,125,5,62.000,7,1,1
A14,cap200div2,424242,p207,EASY,true,none,1,3,3,657,493,6,200.000,105,1,1
A14,cap200div2,424242,p208,IMPOSSIBLE,false,vegan,1,2,1,20,20,15,10.000,1,1,0
A14,cap200div2,424242,p209,HARD,true,none,1,3,0,199,98,3,49.000,3,1,1
A14,cap200div2,424242,p210,EASY,true,paleo,1,3,1,167,167,4,83.000,10,1,1
A14,cap200div2,424242,p211,IMPOSSIBLE,false,vegan,7,2,2,20,17,140,8.000,4,7,0
A14,cap200div2,424242,p212,IMPOSSIBLE,false,vegetarian,1,3,1,72,35,4,17.000,1,1,1
A14,cap200div2,424242,p213,EASY,true,none,1,4,1,826,826,5,200.000,208,1,1
A14,cap200div2,424242,p214,EASY,true,vegetarian,1,3,3,370,171,6,85.000,6,1,1
A14,cap200div2,424242,p215,HARD,true,vegetarian,1,3,2,68,68,25,34.000,11,1,0
A14,cap200div2,424242,p216,HARD,true,none,1,5,0,336,164,5,82.000,24,1,1
A14,cap200div2,424242,p217,EASY,true,none,1,2,1,456,456,3,200.000,25,1,1
A14,cap200div2,424242,p218,EASY,true,vegan,1,3,2,98,94,25,47.000,16,1,1
A14,cap200div2,424242,p219,IMPOSSIBLE,false,vegan,1,5,1,48,18,30,9.000,2,1,0
A14,cap200div2,424242,p220,IMPOSSIBLE,false,vegan,1,3,3,20,20,30,10.000,2,1,0
A14,cap200div2,424242,p221,ROBUSTNESS,true,none,1,9,0,797,797,9,200.000,465,1,1
A14,cap200div2,424242,p222,IMPOSSIBLE,false,vegan,7,3,1,20,17,140,8.000,5,7,0
A14,cap200div2,424242,p223,EASY,true,kosher,1,3,0,657,657,3,200.000,95,1,1
A14,cap200div2,424242,p224,EASY,true,none,1,4,1,426,426,5,200.000,19,1,1
A14,cap200div2,424242,p225,EASY,true,kosher,1,3,3,658,658,6,200.000,21,1,1
A14,cap200div2,424242,p226,ROBUSTNESS,true,kosher,7,9,1,317,189,350,94.000,1762,7,0
A14,cap200div2,424242,p227,IMPOSSIBLE,false,vegan,7,3,0,20,20,105,10.000,6,7,0
A14,cap200div2,424242,p228,ROBUSTNESS,true,keto,1,5,0,53,53,5,26.000,2,1,1
A14,cap200div2,424242,p229,EASY,true,vegan,7,5,1,89,89,210,44.000,216,7,2
A14,cap200div2,424242,p230,EASY,true,none,7,2,3,821,279,175,139.000,199,7,2
A14,cap200div2,424242,p231,EASY,true,none,1,3,3,564,564,30,200.000,171,1,0
A14,cap200div2,424242,p232,EASY,true,halal,7,3,1,758,758,28,200.000,760,7,7
A14,cap200div2,424242,p233,ROBUSTNESS,true,none,1,0,0,494,494,0,,0,0,0
A14,cap200div2,424242,p234,HARD,true,vegetarian,7,3,0,171,89,21,44.000,24,7,7
A14,cap200div2,424242,p235,EASY,true,vegan,1,2,0,169,169,10,84.000,36,1,1
A14,cap200div2,424242,p236,EASY,true,none,1,3,2,800,800,5,200.000,136,1,1
A14,cap200div2,424242,p237,EASY,true,none,7,5,3,853,853,280,200.000,10105,7,5
A14,cap200div2,424242,p238,EASY,true,vegan,1,3,3,98,98,30,49.000,17,1,0
A14,cap200div2,424242,p239,HARD,true,paleo,7,2,2,108,29,140,14.000,12,7,0
A14,cap200div2,424242,p240,EASY,true,none,1,5,1,910,910,6,200.000,303,1,1
A14,cap200div2,424242,p241,EASY,true,none,1,3,3,910,910,12,200.000,100,1,1
A14,cap200div2,424242,p242,HARD,true,mediterranean,1,4,2,270,270,6,135.000,15,1,1
A14,cap200div2,424242,p243,EASY,true,none,1,3,1,577,577,4,200.000,54,1,1
A14,cap200div2,424242,p244,EASY,true,halal,1,5,0,758,336,5,168.000,26,1,1
A14,cap200div2,424242,p245,HARD,true,none,7,4,3,168,162,245,81.000,743,7,5
A14,cap200div2,424242,p246,EASY,true,none,1,4,0,910,283,4,141.000,59,1,1
A14,cap200div2,424242,p247,EASY,true,none,1,3,3,853,774,6,200.000,170,1,1
A14,cap200div2,424242,p248,IMPOSSIBLE,false,vegan,1,3,3,12,12,30,6.000,1,1,0
A14,cap200div2,424242,p249,HARD,true,keto,7,2,1,28,28,21,14.000,2,7,7
