recipe_id,name,slot_type,kcal,protein_g,fat_g,carb_g,fat_g_per_100kcal,protein_g_per_100kcal,carb_g_per_100kcal,fat_kcal_share
cmrj2ubui08hvwlws7bfm8f5s,"Jamaican Boiled Dumplings",meal,457.5,13.63,1.85,96.63,0.4,2.98,21.12,0.0364
cmrj2ubw008i6wlwsw5mgys0e,"Jamaican Festival (Sweet Dumpling)",meal,1146.94,17.06,56.58,144.14,4.93,1.49,12.57,0.444
cmrj2ubxy08inwlwsy79rhwdw,"Jamaican Fried Dumplings",meal,1960.57,16.57,168.38,101.91,8.59,0.84,5.2,0.773
cmrj2ubz908iywlwscf06orks,"Jamaican Steamed Cabbage",meal,690.19,18.08,40.91,86.49,5.93,2.62,12.53,0.5334
cmrj2uc2h08jpwlwsgsc760bk,"Keto Banitsa",meal,932.9,42.6,64.4,51.4,6.9,4.57,5.51,0.6213
cmrj2uc4a08k4wlwsfh822hi1,"Khobz el Dar (Algerian Semolina Bread)",meal,1361.7,40.19,48.39,193.82,3.55,2.95,14.23,0.3198
cmrj2uc7o08kvwlws3qgbx4dw,"Kulaç Soda Bread",meal,994.32,50.28,6.81,183.35,0.68,5.06,18.44,0.0616
cmrj2ucb308ljwlwshp004cle,"Lao Som Pak Pickled Cabbage",meal,188.5,10.71,1.1,43.27,0.58,5.68,22.95,0.0523
cmrj2uccf08lswlws07gd8p8x,"Mango chow",meal,62.62,2.61,0.41,15.49,0.65,4.18,24.75,0.0585
cmrj2uce708m7wlwssel7u3zm,"Mushroom soup with buckwheat",meal,429.48,8.3,33.72,27.58,7.85,1.93,6.42,0.7066
cmrj2ucic08n5wlws99n5bcto,"Num Ansom – Sticky Rice Cake",meal,1230.3,34.8,5.8,263.6,0.47,2.83,21.43,0.0424
cmrj2ucjz08niwlwss9gu5mba,"Phaphatha Flatbreads",meal,1008.86,31.17,7.76,204.57,0.77,3.09,20.28,0.0692
cmrj2uclh08ntwlws2h11csb7,"Pierogi (Polish Dumplings)",meal,1336.69,36.25,51.4,186.27,3.85,2.71,13.94,0.3461
cmrj2ucqs08p1wlwsd0ffqofr,"Rye bread",meal,675.8,25.2,5.6,132.7,0.83,3.73,19.64,0.0746
cmrj2ucsg08pewlws564i92mo,"Sesame Cucumber Salad",meal,143.97,10.9,8.44,11.38,5.86,7.57,7.91,0.5277
cmrj2ucu808ptwlwsphnpz4dk,"Shawarma bread",meal,293.5,6.81,7.73,49.58,2.63,2.32,16.89,0.237
cmrj2ucvs08q6wlwscb1ruusi,"Smoked aubergine purée",meal,134.34,8.51,3.07,21.28,2.29,6.33,15.84,0.2059
cmrj2ucxb08qhwlws21ulsvoz,"Smoky tomato pepper salsa",meal,238.51,2.48,21.19,11.39,8.88,1.04,4.78,0.7994
